#data format:	time, trigger pressure,	WG1,	WG2,	WG3,	WG4,	WG5,	WG6,	PP1,	PP2,	PP3,	PP4,	PP5,	PP6,	PP7,	PP8,	PP9
-1	6.75	0.0425	-0.0148	-0.1419	0.0423	0.0264	0.0628	0.006	0.002	0.005	0.009	0.005	0.007	0.014	0.009	0.01
-0.999	6.5	0.0267	-0.0148	-0.1419	0.0226	0.0264	0.0588	0.006	0.002	0.005	0.009	0.004	0.007	0.014	0.009	0.009
-0.998	6.75	0.0267	-0.0108	-0.1419	0.0068	0.0224	0.0667	0.007	0.004	0.006	0.008	0.004	0.007	0.014	0.008	0.01
-0.997	7	0.0425	-0.0148	-0.1379	0.0068	0.0264	0.0707	0.007	0.003	0.005	0.008	0.004	0.007	0.013	0.008	0.01
-0.996	7	0.0465	-0.0187	-0.1379	0.0147	0.0264	0.0747	0.007	0.004	0.005	0.009	0.004	0.006	0.013	0.008	0.01
-0.995	6.75	0.0386	-0.0108	-0.1299	0.0345	0.0344	0.0747	0.006	0.003	0.004	0.008	0.004	0.005	0.013	0.008	0.01
-0.994	6.75	0.0346	-0.0069	-0.1339	0.0463	0.0304	0.0747	0.006	0.003	0.005	0.008	0.005	0.005	0.014	0.008	0.011
-0.993	7	0.0267	-0.0029	-0.1379	0.0542	0.0304	0.0747	0.006	0.003	0.005	0.008	0.004	0.005	0.014	0.008	0.01
-0.992	7	0.0346	-0.0029	-0.1419	0.0542	0.0304	0.0707	0.007	0.003	0.004	0.008	0.005	0.006	0.014	0.009	0.01
-0.991	7	0.0425	-0.0069	-0.1459	0.0463	0.0304	0.0747	0.006	0.003	0.004	0.008	0.005	0.006	0.013	0.009	0.009
-0.99	6.75	0.0465	-0.0108	-0.1499	0.0463	0.0224	0.0707	0.006	0.003	0.005	0.008	0.004	0.006	0.013	0.009	0.01
-0.989	6.75	0.0505	-0.0187	-0.1538	0.0463	0.0184	0.0667	0.006	0.003	0.005	0.008	0.004	0.006	0.014	0.008	0.01
-0.988	7	0.0425	-0.0187	-0.1578	0.0502	0.0184	0.0588	0.006	0.003	0.005	0.009	0.005	0.006	0.014	0.008	0.01
-0.987	7	0.0386	-0.0187	-0.1618	0.0502	0.0224	0.0628	0.006	0.003	0.005	0.008	0.005	0.007	0.014	0.009	0.01
-0.986	6.75	0.0465	-0.0187	-0.1578	0.0502	0.0264	0.0628	0.007	0.002	0.005	0.009	0.005	0.007	0.014	0.008	0.008
-0.985	6.75	0.0505	-0.0148	-0.1379	0.0463	0.0304	0.0667	0.006	0.003	0.005	0.009	0.004	0.008	0.014	0.008	0.009
-0.984	6.75	0.0544	-0.0069	-0.1299	0.0384	0.0304	0.0707	0.006	0.004	0.005	0.009	0.005	0.007	0.013	0.008	0.009
-0.983	7	0.0465	-0.0069	-0.1259	0.0305	0.0344	0.0826	0.005	0.004	0.005	0.009	0.005	0.007	0.013	0.008	0.01
